id,datum,kraj,disciplina,mesto
148274,16-03-2014,Lenzerheide,Slalom,DNF2
148274,09-03-2014,Kranjska Gora,Slalom,DNF2
148274,28-01-2014,Schladming,Slalom,DSQ1
148274,24-01-2014,Kitzbuehel,Slalom,5
148274,19-01-2014,Wengen,Slalom,20
148274,12-01-2014,Adelboden,Slalom,DNF1
148274,06-01-2014,Bormio,Slalom,10
148274,15-12-2013,Val d'Isere,Slalom,23
148274,17-11-2013,Levi,Slalom,DNQ1
148274,10-03-2013,Kranjska Gora,Slalom,12
148274,20-01-2013,Wengen,Slalom,DNF1
148274,13-01-2013,Adelboden,Slalom,DNF2
148274,06-01-2013,Zagreb,Slalom,DNQ1
148274,01-01-2013,City Event Munich,City Event,9
148274,18-12-2012,Madonna di Campiglio,Slalom,DNQ1
166907,18-12-2015,Val d'Is̬re,Alpine combined,32
166907,29-11-2015,"Aspen, CO",Slalom,DNQ1
166907,28-11-2015,"Aspen, CO",Slalom,DNQ1
166907,13-01-2015,Flachau,Slalom,DNQ1
166907,04-01-2015,Zagreb,Slalom,DNF1
166907,29-12-2014,Kuehtai in Tirol,Slalom,DNF1
166907,13-12-2014,Are,Slalom,21
166907,30-11-2014,Aspen,Slalom,30
166907,15-11-2014,Levi,Slalom,22
166907,15-03-2014,Lenzerheide,Slalom,15
166907,08-03-2014,Are,Slalom,DNF1
166907,02-02-2014,Kranjska Gora,Slalom,DNQ1
166907,14-01-2014,Flachau,Slalom,DNQ1
166907,05-01-2014,Bormio,Slalom,DNQ1
166907,29-12-2013,Lienz,Slalom,DNQ1
166907,17-12-2013,Courchevel,Slalom,DNS1
166907,16-11-2013,Levi,Slalom,4
137008,07-03-2016,Jasna,Giant Slalom,DNQ1
137008,06-03-2016,Jasna,Slalom,DNQ1
137008,15-02-2016,Crans Montana,Slalom,DNF1
137008,30-01-2016,Maribor,Giant Slalom,DNQ1
137008,17-01-2016,Flachau,Giant Slalom,DNQ1
137008,15-01-2016,Flachau,Slalom,DNF1
137008,12-01-2016,Flachau,Slalom,DNQ1
137008,13-12-2015,Are,Slalom,DNS1
137008,12-12-2015,Are,Giant Slalom,DNF1
137008,29-11-2015,"Aspen, CO",Slalom,DNQ1
137008,28-11-2015,"Aspen, CO",Slalom,DNQ1
137008,27-11-2015,"Aspen, CO",Giant Slalom,DNF1
137008,24-10-2015,Soelden,Giant Slalom,DNF2
137008,14-03-2015,Are,Slalom,DNQ1
137008,13-03-2015,Are,Giant Slalom,DNQ1
137008,22-02-2015,Maribor,Slalom,DNF1
137008,21-02-2015,Maribor,Giant Slalom,20
137008,13-01-2015,Flachau,Slalom,DNF1
137008,04-01-2015,Zagreb,Slalom,DNF1
137008,29-12-2014,Kuehtai in Tirol,Slalom,DNQ1
137008,28-12-2014,Kuehtai in Tirol,Giant Slalom,17
137008,12-12-2014,Are,Giant Slalom,DNF1
137008,30-11-2014,Aspen,Slalom,DNQ1
137008,29-11-2014,Aspen,Giant Slalom,29
137008,25-10-2014,Soelden,Giant Slalom,DNQ1
137008,08-03-2014,Are,Slalom,DNQ1
137008,07-03-2014,Are,Giant Slalom,21
137008,06-03-2014,Are,Giant Slalom,DNQ1
137008,02-02-2014,Kranjska Gora,Slalom,DNQ1
137008,28-12-2013,Lienz,Giant Slalom,DNS1
137008,22-12-2013,Val d'Isere,Giant Slalom,DNQ1
137008,17-12-2013,Courchevel,Slalom,DNF1
139437,06-03-2016,Jasna,Slalom,DNQ1
139437,15-02-2016,Crans Montana,Slalom,23
139437,15-01-2016,Flachau,Slalom,DNQ1
139437,12-01-2016,Flachau,Slalom,DNQ1
139437,05-01-2016,Santa Caterina Valfurva,Slalom,DNQ1
139437,29-12-2015,Lienz,Slalom,DNQ1
139437,13-12-2015,Are,Slalom,DNQ1
139437,29-11-2015,"Aspen, CO",Slalom,DNQ1
139437,28-11-2015,"Aspen, CO",Slalom,DNQ1
139437,14-03-2015,Are,Slalom,DNQ1
139437,22-02-2015,Maribor,Slalom,DNF1
139437,13-01-2015,Flachau,Slalom,DNQ1
139437,04-01-2015,Zagreb,Slalom,DNF1
139437,29-12-2014,Kuehtai in Tirol,Slalom,DNQ1
139437,15-11-2014,Levi,Slalom,DNQ1
139437,02-02-2014,Kranjska Gora,Slalom,DNQ1
139437,14-01-2014,Flachau,Slalom,DNQ1
139437,05-01-2014,Bormio,Slalom,DNF1
139437,17-12-2013,Courchevel,Slalom,DNF1
139437,10-03-2013,Ofterschwang,Slalom,DNQ1
139437,15-01-2013,Flachau,Slalom,DNF1
163567,13-03-2016,Lenzerheide,Alpine combined,DNF2
163567,12-03-2016,Lenzerheide,Super G,44
163567,15-02-2016,Crans Montana,Slalom,DNF1
163567,30-01-2016,Maribor,Giant Slalom,DNQ1
163567,17-01-2016,Flachau,Giant Slalom,DNQ1
163567,15-01-2016,Flachau,Slalom,DNF1
163567,12-01-2016,Flachau,Slalom,DNQ1
163567,05-01-2016,Santa Caterina Valfurva,Slalom,DNF1
163567,28-12-2015,Lienz,Giant Slalom,26
163567,20-12-2015,Courchevel,Giant Slalom,DNQ1
163567,12-12-2015,Are,Giant Slalom,DNQ1
163567,29-11-2015,"Aspen, CO",Slalom,DNQ1
163567,28-11-2015,"Aspen, CO",Slalom,DNF1
163567,27-11-2015,"Aspen, CO",Giant Slalom,21
163567,24-10-2015,Soelden,Giant Slalom,DNF1
163567,22-02-2015,Maribor,Slalom,DNQ1
163567,07-03-2014,Are,Giant Slalom,DNQ1
163567,06-03-2014,Are,Giant Slalom,DNQ1
163567,09-03-2013,Ofterschwang,Giant Slalom,DNF1
125750,06-03-2016,Kranjska Gora,Slalom,DNQ1
125750,04-03-2016,Kranjska Gora,Giant Slalom,DNS1
125750,14-02-2016,Yuzawa Naeba,Slalom,DNQ1
125750,26-01-2016,Schladming,Slalom,DNF1
125750,24-01-2016,Kitzbuehel,Slalom,19
125750,17-01-2016,Wengen,Slalom,DNQ1
125750,10-01-2016,Adelboden,Slalom,21
125750,06-01-2016,Santa Caterina Valfurva,Slalom,DNF1
125750,22-12-2015,Madonna di Campiglio,Slalom,DNQ1
125750,13-12-2015,Val d'Is̬re,Slalom,DNQ1
125750,06-12-2015,Beaver Creek,Giant Slalom,DNQ1
125750,27-01-2015,Schladming,Slalom,DNQ1
125750,25-01-2015,Kitzbuehel,Slalom,DNQ1
125750,17-01-2015,Wengen,Slalom,DNF1
125750,11-01-2015,Adelboden,Slalom,DNF1
125750,06-01-2015,Zagreb,Slalom,DNQ1
125750,22-12-2014,Madonna di Campiglio,Slalom,DNF1
125750,16-11-2014,Levi,Slalom,DNQ1
125750,10-03-2013,Kranjska Gora,Slalom,DNF1
125750,13-01-2013,Adelboden,Slalom,DNF1
125750,06-01-2013,Zagreb,Slalom,DNF1
125750,18-12-2012,Madonna di Campiglio,Slalom,DNF1
125750,08-12-2012,Val d'Isere,Slalom,DNF1
125750,24-01-2012,Schladming,Slalom,DNF1
125750,22-01-2012,Kitzbuehel,Slalom,DNQ1
125750,05-01-2012,Zagreb,Slalom,DNQ1
125750,23-01-2011,Kitzbuehel,Slalom,DNQ1
80000,06-03-2016,Kranjska Gora,Slalom,DNQ1
80000,14-02-2016,Yuzawa Naeba,Slalom,DNF1
80000,26-01-2016,Schladming,Slalom,22
80000,24-01-2016,Kitzbuehel,Slalom,DNF1
80000,17-01-2016,Wengen,Slalom,DSQ1
80000,10-01-2016,Adelboden,Slalom,22
80000,06-01-2016,Santa Caterina Valfurva,Slalom,DNQ1
80000,22-12-2015,Madonna di Campiglio,Slalom,18
80000,13-12-2015,Val d'Is̬re,Slalom,DNQ1
80000,22-03-2015,Meribel,Slalom,16
80000,15-03-2015,Kranjska Gora,Slalom,20
80000,17-01-2015,Wengen,Slalom,DNF1
80000,11-01-2015,Adelboden,Slalom,DNF1
80000,06-01-2015,Zagreb,Slalom,6
80000,22-12-2014,Madonna di Campiglio,Slalom,6
80000,14-12-2014,Are,Slalom,5
80000,12-12-2014,Are,Giant Slalom,DNQ1
80000,16-11-2014,Levi,Slalom,24
80000,16-03-2014,Lenzerheide,Slalom,6
80000,09-03-2014,Kranjska Gora,Slalom,10
80000,28-01-2014,Schladming,Slalom,14
80000,24-01-2014,Kitzbuehel,Slalom,DNF1
80000,19-01-2014,Wengen,Slalom,14
80000,12-01-2014,Adelboden,Slalom,19
80000,06-01-2014,Bormio,Slalom,14
80000,15-12-2013,Val d'Isere,Slalom,20
80000,17-11-2013,Levi,Slalom,DNF2
80000,10-03-2013,Kranjska Gora,Slalom,26
80000,27-01-2013,Kitzbuehel,Slalom,25
80000,20-01-2013,Wengen,Slalom,9
80000,13-01-2013,Adelboden,Slalom,DNQ1
80000,06-01-2013,Zagreb,Slalom,19
80000,18-12-2012,Madonna di Campiglio,Slalom,DNF2
80000,08-12-2012,Val d'Isere,Slalom,22
80000,11-11-2012,Levi,Slalom,DNQ1
80000,18-03-2012,Schladming,Slalom,14
80000,11-03-2012,Kranjska Gora,Slalom,23
80000,19-02-2012,Bansko,Slalom,23
80000,24-01-2012,Schladming,Slalom,DNF2
80000,22-01-2012,Kitzbuehel,Slalom,DNF2
80000,15-01-2012,Wengen,Slalom,11
80000,08-01-2012,Adelboden,Slalom,15
80000,05-01-2012,Zagreb,Slalom,12
80000,21-12-2011,Flachau,Slalom,14
80000,19-12-2011,Alta Badia,Slalom,21
80000,08-12-2011,Beaver Creek,Slalom,DNF1
80000,19-03-2011,Lenzerheide,Slalom,11
80000,06-03-2011,Kranjska Gora,Slalom,2
80000,27-02-2011,Bansko,Slalom,DNF2
80000,25-01-2011,Schladming,Slalom,6
80000,23-01-2011,Kitzbuehel,Slalom,21
80000,16-01-2011,Wengen,Slalom,11
80000,09-01-2011,Adelboden,Slalom,15
80000,06-01-2011,Zagreb,Slalom,14
80000,12-12-2010,Val d'Isere,Slalom,DNQ1
80000,14-11-2010,Levi,Slalom,DNF1
80000,13-03-2010,Garmisch Partenkirchen,Slalom,17
80000,31-01-2010,Kranjska Gora,Slalom,12
80000,26-01-2010,Schladming,Slalom,13
80000,24-01-2010,Kitzbuehel,Slalom,DNF1
80000,17-01-2010,Wengen,Slalom,DNQ1
80000,10-01-2010,Adelboden,Slalom,23
80000,06-01-2010,Zagreb,Slalom,14
80000,21-12-2009,Alta Badia,Slalom,10
80000,15-11-2009,Levi,Slalom,15
80000,27-01-2009,Schladming,Slalom,DNF1
120086,16-03-2016,St. Moritz,Downhill,10
120086,13-03-2016,Lenzerheide,Alpine combined,18
120086,12-03-2016,Lenzerheide,Super G,34
120086,28-02-2016,Soldeu- El Tarter,Alpine combined,DNF2
120086,27-02-2016,Soldeu- El Tarter,Super G,17
120086,21-02-2016,La Thuile,Super G,30
120086,20-02-2016,La Thuile,Downhill,40
120086,19-02-2016,La Thuile,Downhill,32
120086,07-02-2016,Garmisch Partenkirchen,Super G,42
120086,06-02-2016,Garmisch Partenkirchen,Downhill,32
120086,24-01-2016,Cortina d'Ampezzo,Super G,38
120086,23-01-2016,Cortina d'Ampezzo,Downhill,34
120086,10-01-2016,Altenmarkt-Zauchensee,Super G,24
120086,09-01-2016,Altenmarkt-Zauchensee,Downhill,7
120086,19-12-2015,Val d'Is̬re,Downhill,22
120086,18-12-2015,Val d'Is̬re,Alpine combined,5
120086,06-12-2015,Lake Louise,Super G,18
120086,05-12-2015,Lake Louise,Downhill,25
120086,04-12-2015,Lake Louise,Downhill,4
120086,08-03-2015,Garmisch Partenkirchen,Super G,8
120086,07-03-2015,Garmisch Partenkirchen,Downhill,21
120086,02-03-2015,Bansko,Super G,37
120086,01-03-2015,Bansko,Alpine combined,4
120086,25-01-2015,St.Moritz,Super G,23
120086,24-01-2015,St.Moritz,Downhill,26
120086,19-01-2015,Cortina d'Ampezzo,Super G,30
120086,18-01-2015,Cortina d'Ampezzo,Downhill,DNF1
120086,16-01-2015,Cortina d'Ampezzo,Downhill,17
120086,21-12-2014,Val d Isere,Super G,DNF1
120086,20-12-2014,Val d Isere,Downhill,41
120086,07-12-2014,Lake Louise,Super G,15
120086,06-12-2014,Lake Louise,Downhill,39
120086,05-12-2014,Lake Louise,Downhill,37
120086,02-03-2014,Crans Montana,Downhill,25
120086,12-01-2014,Altenmarkt / Zauchensee,Super Combined,32
120086,11-01-2014,Altenmarkt / Zauchensee,Downhill,48
120086,21-12-2013,Val d'Isere,Downhill,40
120086,07-12-2013,Lake Louise,Downhill,47
120086,06-12-2013,Lake Louise,Downhill,51
120086,29-11-2013,Beaver Creek,Downhill,46
120086,02-03-2013,Garmisch-Partenkirchen,Downhill,40
120086,01-03-2013,Garmisch-Partenkirchen,Super G,37
120086,24-02-2013,Meribel,Super Combined,17
120086,23-02-2013,Meribel,Downhill,37
120086,20-01-2013,Cortina d'Ampezzo,Super G,44
120086,19-01-2013,Cortina d'Ampezzo,Downhill,41
120086,13-01-2013,St. Anton,Super G,DNF1
120086,12-01-2013,St. Anton,Downhill,46
120086,14-12-2012,Val d'Isere,Downhill,37
120086,08-12-2012,St. Moritz,Super G,51
120086,07-12-2012,St. Moritz,Super Combined,19
120086,02-12-2012,Lake Louise,Super G,39
120086,01-12-2012,Lake Louise,Downhill,42
120086,30-11-2012,Lake Louise,Downhill,27
120086,26-02-2012,Bansko,Super G,37
120086,18-02-2012,Sochi,Downhill,36
120086,05-02-2012,Garmisch-Partenkirchen,Super G,33
120086,04-02-2012,Garmisch-Partenkirchen,Downhill,36
120086,29-01-2012,St. Moritz,Super Combined,36
120086,28-01-2012,St. Moritz,Downhill,43
120086,27-01-2012,St. Moritz,Super Combined,27
120086,15-01-2012,Cortina d'Ampezzo,Super G,DNF1
120086,14-01-2012,Cortina d'Ampezzo,Downhill,29
120086,08-01-2012,Bad Kleinkirchheim,Super G,39
120086,07-01-2012,Bad Kleinkirchheim,Downhill,40
120086,07-12-2011,Beaver Creek,Super G,31
120086,04-12-2011,Lake Louise,Super G,42
120086,03-12-2011,Lake Louise,Downhill,DNF1
120086,02-12-2011,Lake Louise,Downhill,44
120086,06-03-2011,Tarvisio,Super G,47
120086,05-03-2011,Tarvisio,Downhill,DNF1
120086,04-03-2011,Tarvisio,Super Combined,DNF1
120086,26-02-2011,Are,Downhill,33
120086,25-02-2011,Are,Super Combined,26
120086,23-01-2011,Cortina d Ampezzo,Super G,30
120086,22-01-2011,Cortina d Ampezzo,Downhill,39
120086,21-01-2011,Cortina d Ampezzo,Super G,29
120086,09-01-2011,Zauchensee,Super G,18
120086,08-01-2011,Zauchensee,Downhill,18
120086,19-12-2010,Val d'Isere,Super Combined,17
120086,18-12-2010,Val d'Isere,Downhill,17
120086,05-12-2010,Lake Louise,Super G,32
120086,03-12-2010,Lake Louise,Downhill,44
120086,07-03-2010,Crans Montana,Super G,47
120086,06-03-2010,Crans Montana,Downhill,33
120086,29-01-2010,St. Moritz,Super Combined,22
120086,18-12-2009,Val d'Isere,Super Combined,24
120086,22-02-2009,Tarvisio,Super G,52
120086,20-02-2009,Tarvisio,Super Combined,42
104084,06-03-2016,Kranjska Gora,Slalom,DNF1
104084,05-03-2016,Kranjska Gora,Giant Slalom,DNF1
104084,04-03-2016,Kranjska Gora,Giant Slalom,DNQ1
104084,28-02-2016,Hinterstoder,Giant Slalom,DNQ1
104084,26-02-2016,Hinterstoder,Giant Slalom,DNQ1
104084,14-02-2016,Yuzawa Naeba,Slalom,25
104084,13-02-2016,Yuzawa Naeba,Giant Slalom,DNQ1
104084,26-01-2016,Schladming,Slalom,DSQ1
104084,24-01-2016,Kitzbuehel,Slalom,DNQ1
104084,10-01-2016,Adelboden,Slalom,DNF1
104084,06-01-2016,Santa Caterina Valfurva,Slalom,DNF1
104084,22-12-2015,Madonna di Campiglio,Slalom,DNF1
104084,20-12-2015,Alta Badia,Giant Slalom,DNQ1
104084,13-12-2015,Val d'Is̬re,Slalom,DNF1
104084,12-12-2015,Val d'Is̬re,Giant Slalom,DNF1
104084,06-12-2015,Beaver Creek,Giant Slalom,24
104084,25-10-2015,Soelden,Giant Slalom,19
104084,14-03-2015,Kranjska Gora,Giant Slalom,DNQ1
104084,01-03-2015,Garmisch Partenkirchen,Giant Slalom,21
104084,27-01-2015,Schladming,Slalom,DNQ1
104084,09-03-2013,Kranjska Gora,Giant Slalom,DNF1
104084,24-02-2013,Garmisch-Partenkirchen,Giant Slalom,DNQ1
104084,25-01-2011,Schladming,Slalom,DNF1
2820,16-01-2016,Wengen,Downhill,53
2820,15-01-2016,Wengen,Alpine combined,DNS2
2820,29-12-2015,Santa Caterina,Downhill,DNF1
2820,19-12-2015,Val Gardena / Groeden,Downhill,DNF1
2820,18-12-2015,Val Gardena / Groeden,Super G,DNF1
2820,06-12-2015,Beaver Creek,Giant Slalom,DNF1
2820,05-12-2015,Beaver Creek,Super G,DNF1
2820,04-12-2015,Beaver Creek,Downhill,38
2820,29-11-2015,Lake Louise,Super G,49
2820,28-11-2015,Lake Louise,Downhill,DNF1
2820,24-01-2015,Kitzbuehel,Downhill,19
2820,23-01-2015,Kitzbuehel,Alpine combined,3
2820,23-01-2015,Kitzbuehel,Super G,12
2820,18-01-2015,Wengen,Downhill,9
2820,16-01-2015,Wengen,Alpine combined,8
2820,11-01-2015,Adelboden,Slalom,DNF1
2820,10-01-2015,Adelboden,Giant Slalom,27
2820,28-12-2014,Santa Caterina,Downhill,20
2820,21-12-2014,Alta Badia,Giant Slalom,17
2820,20-12-2014,Val Gardena / Groeden,Super G,27
2820,19-12-2014,Val Gardena / Groeden,Downhill,29
2820,14-12-2014,Are,Slalom,DNF1
2820,12-12-2014,Are,Giant Slalom,DNQ1
2820,07-12-2014,Beaver Creek,Giant Slalom,DNQ1
2820,06-12-2014,Beaver Creek,Super G,31
2820,05-12-2014,Beaver Creek,Downhill,22
2820,30-11-2014,Lake Louise,Super G,35
2820,29-11-2014,Lake Louise,Downhill,32
2820,26-10-2014,Soelden,Giant Slalom,DNF2
2820,02-03-2014,Kvitfjell,Super G,DNF1
2820,01-03-2014,Kvitfjell,Downhill,36
2820,28-02-2014,Kvitfjell,Downhill,49
2820,02-02-2014,St. Moritz,Giant Slalom,DNQ1
2820,28-01-2014,Schladming,Slalom,DNF1
2820,26-01-2014,Kitzbuehel,Super G,46
2820,26-01-2014,Kitzbuehel,Super Combined,DSQ2
2820,18-01-2014,Wengen,Downhill,56
2820,17-01-2014,Wengen,Super Combined,16
2820,12-01-2014,Adelboden,Slalom,DNF1
2820,11-01-2014,Adelboden,Giant Slalom,27
2820,22-12-2013,Alta Badia,Giant Slalom,28
2820,21-12-2013,Val Gardena / Groeden,Downhill,52
2820,14-12-2013,Val d'Isere,Giant Slalom,DNQ1
2820,08-12-2013,Beaver Creek,Giant Slalom,25
2820,07-12-2013,Beaver Creek,Super G,DNF1
2820,06-12-2013,Beaver Creek,Downhill,30
2820,01-12-2013,Lake Louise,Super G,40
2820,30-11-2013,Lake Louise,Downhill,36
2820,27-10-2013,Soelden,Giant Slalom,DNF1
2820,24-11-2012,Lake Louise,Downhill,61
2820,11-11-2012,Levi,Slalom,DNQ1
2820,28-10-2012,Soelden,Giant Slalom,DNQ1
2820,07-01-2012,Adelboden,Giant Slalom,DNF2
2820,21-12-2011,Flachau,Slalom,DNQ1
2820,19-12-2011,Alta Badia,Slalom,DNF1
2820,18-12-2011,Alta Badia,Giant Slalom,DNQ1
2820,08-12-2011,Beaver Creek,Slalom,DNQ1
2820,06-12-2011,Beaver Creek,Giant Slalom,DNF1
2820,04-12-2011,Beaver Creek,Giant Slalom,DNQ1
2820,13-03-2011,Kvitfjell,Super G,35
2820,12-03-2011,Kvitfjell,Downhill,24
2820,11-03-2011,Kvitfjell,Downhill,17
2820,06-03-2011,Kranjska Gora,Slalom,DNF1
2820,05-03-2011,Kranjska Gora,Giant Slalom,13
2820,27-02-2011,Bansko,Slalom,DNQ1
2820,26-02-2011,Bansko,Super Combined,6
2820,06-02-2011,Hinterstoder,Giant Slalom,22
2820,30-01-2011,Chamonix,Super Combined,6
2820,29-01-2011,Chamonix,Downhill,32
2820,25-01-2011,Schladming,Slalom,DNF2
2820,23-01-2011,Kitzbuehel,Slalom,DSQ2
2820,23-01-2011,Kitzbuehel,Combined,DSQ2
2820,22-01-2011,Kitzbuehel,Downhill,32
2820,21-01-2011,Kitzbuehel,Super G,DNS1
2820,16-01-2011,Wengen,Slalom,24
2820,14-01-2011,Wengen,Super Combined,10
2820,09-01-2011,Adelboden,Slalom,DNF1
2820,08-01-2011,Adelboden,Giant Slalom,17
2820,06-01-2011,Zagreb,Slalom,DNQ1
2820,19-12-2010,Alta Badia,Giant Slalom,5
2820,12-12-2010,Val d'Isere,Slalom,7
2820,11-12-2010,Val d'Isere,Giant Slalom,22
2820,05-12-2010,Beaver Creek,Giant Slalom,16
2820,04-12-2010,Beaver Creek,Super G,30
2820,28-11-2010,Lake Louise,Super G,41
2820,27-11-2010,Lake Louise,Downhill,33
2820,14-11-2010,Levi,Slalom,13
2820,12-03-2010,Garmisch Partenkirchen,Giant Slalom,DNF2
2820,31-01-2010,Kranjska Gora,Slalom,DNQ1
2820,30-01-2010,Kranjska Gora,Giant Slalom,15
2820,29-01-2010,Kranjska Gora,Giant Slalom,24
2820,26-01-2010,Schladming,Slalom,DNQ1
2820,24-01-2010,Kitzbuehel,Combined,8
2820,24-01-2010,Kitzbuehel,Slalom,DNQ1
2820,23-01-2010,Kitzbuehel,Downhill,52
2820,17-01-2010,Wengen,Slalom,DNQ1
2820,15-01-2010,Wengen,Super Combined,7
2820,10-01-2010,Adelboden,Slalom,15
2820,06-01-2010,Zagreb,Slalom,DNF1
2820,21-12-2009,Alta Badia,Slalom,DNQ1
2820,20-12-2009,Alta Badia,Giant Slalom,12
2820,13-12-2009,Val d'Isere,Giant Slalom,DNQ1
2820,11-12-2009,Val d'Isere,Super Combined,DNS2
2820,06-12-2009,Beaver Creek,Giant Slalom,20
2820,04-12-2009,Beaver Creek,Super Combined,DNF2
2820,29-11-2009,Lake Louise,Super G,DNF1
2820,28-11-2009,Lake Louise,Downhill,55
2820,15-11-2009,Levi,Slalom,DNQ1
2820,25-10-2009,Soelden,Giant Slalom,24
2820,27-01-2009,Schladming,Slalom,DNS1
2820,13-01-2008,Wengen,Downhill,DNS1
2820,12-01-2008,Wengen,Slalom,DNQ1
2820,11-01-2008,Wengen,Super Combined,26
2820,06-01-2008,Adelboden,Slalom,16
2820,05-01-2008,Adelboden,Giant Slalom,DNQ1
2820,17-12-2007,La Villa - Alta Badia,Slalom,18
2820,16-12-2007,La Villa - Alta Badia,Giant Slalom,DNQ1
2820,15-12-2007,Val Gardena-Groeden,Downhill,DNS1
2820,09-12-2007,Bad Kleinkirchheim,Slalom,DNF1
2820,03-12-2007,"Beaver Creek, CO",Super G,42
